date,start,end,regime,regime_lag1
2010-07-30,2010-07-30,2010-08-27,1,
2010-08-27,2010-08-27,2010-09-24,1,1.0
2010-09-24,2010-09-24,2010-10-22,1,1.0
2010-10-22,2010-10-22,2010-11-19,1,1.0
2010-11-19,2010-11-19,2010-12-17,1,1.0
2010-12-17,2010-12-17,2011-01-14,1,1.0
2011-01-14,2011-01-14,2011-02-11,1,1.0
2011-02-11,2011-02-11,2011-03-11,1,1.0
2011-03-11,2011-03-11,2011-04-08,1,1.0
2011-04-08,2011-04-08,2011-05-06,1,1.0
2011-05-06,2011-05-06,2011-06-03,1,1.0
2011-06-03,2011-06-03,2011-07-01,1,1.0
2011-07-01,2011-07-01,2011-07-29,1,1.0
2011-07-29,2011-07-29,2011-08-26,1,1.0
2011-08-26,2011-08-26,2011-09-23,1,1.0
2011-09-23,2011-09-23,2011-10-21,0,1.0
2011-10-21,2011-10-21,2011-11-18,1,0.0
2011-11-18,2011-11-18,2011-12-16,0,1.0
2011-12-16,2011-12-16,2012-01-13,0,0.0
2012-01-13,2012-01-13,2012-02-10,0,0.0
2012-02-10,2012-02-10,2012-03-09,0,0.0
2012-03-09,2012-03-09,2012-04-06,0,0.0
2012-04-06,2012-04-06,2012-05-04,0,0.0
2012-05-04,2012-05-04,2012-06-01,0,0.0
2012-06-01,2012-06-01,2012-06-29,0,0.0
2012-06-29,2012-06-29,2012-07-27,1,0.0
2012-07-27,2012-07-27,2012-08-24,1,1.0
2012-08-24,2012-08-24,2012-09-21,1,1.0
2012-09-21,2012-09-21,2012-10-19,1,1.0
2012-10-19,2012-10-19,2012-11-16,0,1.0
2012-11-16,2012-11-16,2012-12-14,1,0.0
2012-12-14,2012-12-14,2013-01-11,1,1.0
2013-01-11,2013-01-11,2013-02-08,1,1.0
2013-02-08,2013-02-08,2013-03-08,1,1.0
2013-03-08,2013-03-08,2013-04-05,1,1.0
2013-04-05,2013-04-05,2013-05-03,0,1.0
2013-05-03,2013-05-03,2013-05-31,0,0.0
2013-05-31,2013-05-31,2013-06-28,0,0.0
2013-06-28,2013-06-28,2013-07-26,1,0.0
2013-07-26,2013-07-26,2013-08-23,1,1.0
2013-08-23,2013-08-23,2013-09-20,0,1.0
2013-09-20,2013-09-20,2013-10-18,1,0.0
2013-10-18,2013-10-18,2013-11-15,1,1.0
2013-11-15,2013-11-15,2013-12-13,1,1.0
2013-12-13,2013-12-13,2014-01-10,1,1.0
2014-01-10,2014-01-10,2014-02-07,1,1.0
2014-02-07,2014-02-07,2014-03-07,1,1.0
2014-03-07,2014-03-07,2014-04-04,1,1.0
2014-04-04,2014-04-04,2014-05-02,1,1.0
2014-05-02,2014-05-02,2014-05-30,1,1.0
2014-05-30,2014-05-30,2014-06-27,0,1.0
2014-06-27,2014-06-27,2014-07-25,0,0.0
2014-07-25,2014-07-25,2014-08-22,0,0.0
2014-08-22,2014-08-22,2014-09-19,0,0.0
2014-09-19,2014-09-19,2014-10-17,0,0.0
2014-10-17,2014-10-17,2014-11-14,0,0.0
2014-11-14,2014-11-14,2014-12-12,1,0.0
2014-12-12,2014-12-12,2015-01-09,0,1.0
2015-01-09,2015-01-09,2015-02-06,0,0.0
2015-02-06,2015-02-06,2015-03-06,1,0.0
2015-03-06,2015-03-06,2015-04-03,1,1.0
2015-04-03,2015-04-03,2015-05-01,1,1.0
2015-05-01,2015-05-01,2015-05-29,0,1.0
2015-05-29,2015-05-29,2015-06-26,0,0.0
2015-06-26,2015-06-26,2015-07-24,0,0.0
2015-07-24,2015-07-24,2015-08-21,1,0.0
2015-08-21,2015-08-21,2015-09-18,1,1.0
2015-09-18,2015-09-18,2015-10-16,1,1.0
2015-10-16,2015-10-16,2015-11-13,1,1.0
2015-11-13,2015-11-13,2015-12-11,1,1.0
2015-12-11,2015-12-11,2016-01-08,0,1.0
2016-01-08,2016-01-08,2016-02-05,1,0.0
2016-02-05,2016-02-05,2016-03-04,1,1.0
2016-03-04,2016-03-04,2016-04-01,1,1.0
2016-04-01,2016-04-01,2016-04-29,0,1.0
2016-04-29,2016-04-29,2016-05-27,0,0.0
2016-05-27,2016-05-27,2016-06-24,0,0.0
2016-06-24,2016-06-24,2016-07-22,0,0.0
2016-07-22,2016-07-22,2016-08-19,0,0.0
2016-08-19,2016-08-19,2016-09-16,0,0.0
2016-09-16,2016-09-16,2016-10-14,1,0.0
2016-10-14,2016-10-14,2016-11-11,1,1.0
2016-11-11,2016-11-11,2016-12-09,1,1.0
2016-12-09,2016-12-09,2017-01-06,1,1.0
2017-01-06,2017-01-06,2017-02-03,1,1.0
2017-02-03,2017-02-03,2017-03-03,0,1.0
2017-03-03,2017-03-03,2017-03-31,0,0.0
2017-03-31,2017-03-31,2017-04-28,1,0.0
2017-04-28,2017-04-28,2017-05-26,0,1.0
2017-05-26,2017-05-26,2017-06-23,0,0.0
2017-06-23,2017-06-23,2017-07-21,0,0.0
2017-07-21,2017-07-21,2017-08-18,1,0.0
2017-08-18,2017-08-18,2017-09-15,1,1.0
2017-09-15,2017-09-15,2017-10-13,0,1.0
2017-10-13,2017-10-13,2017-11-10,0,0.0
2017-11-10,2017-11-10,2017-12-08,0,0.0
2017-12-08,2017-12-08,2018-01-05,0,0.0
2018-01-05,2018-01-05,2018-02-02,0,0.0
2018-02-02,2018-02-02,2018-03-02,0,0.0
2018-03-02,2018-03-02,2018-03-30,1,0.0
2018-03-30,2018-03-30,2018-04-27,1,1.0
2018-04-27,2018-04-27,2018-05-25,1,1.0
2018-05-25,2018-05-25,2018-06-22,1,1.0
2018-06-22,2018-06-22,2018-07-20,0,1.0
2018-07-20,2018-07-20,2018-08-17,0,0.0
2018-08-17,2018-08-17,2018-09-14,0,0.0
2018-09-14,2018-09-14,2018-10-12,0,0.0
2018-10-12,2018-10-12,2018-11-09,0,0.0
2018-11-09,2018-11-09,2018-12-07,1,0.0
2018-12-07,2018-12-07,2019-01-04,0,1.0
2019-01-04,2019-01-04,2019-02-01,1,0.0
2019-02-01,2019-02-01,2019-03-01,1,1.0
2019-03-01,2019-03-01,2019-03-29,1,1.0
2019-03-29,2019-03-29,2019-04-26,1,1.0
2019-04-26,2019-04-26,2019-05-24,1,1.0
2019-05-24,2019-05-24,2019-06-21,1,1.0
2019-06-21,2019-06-21,2019-07-19,1,1.0
2019-07-19,2019-07-19,2019-08-16,1,1.0
2019-08-16,2019-08-16,2019-09-13,1,1.0
2019-09-13,2019-09-13,2019-10-11,1,1.0
2019-10-11,2019-10-11,2019-11-08,1,1.0
2019-11-08,2019-11-08,2019-12-06,1,1.0
2019-12-06,2019-12-06,2020-01-03,1,1.0
2020-01-03,2020-01-03,2020-01-31,1,1.0
2020-01-31,2020-01-31,2020-02-28,0,1.0
2020-02-28,2020-02-28,2020-03-27,1,0.0
2020-03-27,2020-03-27,2020-04-24,1,1.0
2020-04-24,2020-04-24,2020-05-22,1,1.0
2020-05-22,2020-05-22,2020-06-19,0,1.0
2020-06-19,2020-06-19,2020-07-17,1,0.0
2020-07-17,2020-07-17,2020-08-14,1,1.0
2020-08-14,2020-08-14,2020-09-11,0,1.0
2020-09-11,2020-09-11,2020-10-09,0,0.0
2020-10-09,2020-10-09,2020-11-06,1,0.0
2020-11-06,2020-11-06,2020-12-04,1,1.0
2020-12-04,2020-12-04,2021-01-01,0,1.0
2021-01-01,2021-01-01,2021-01-29,1,0.0
2021-01-29,2021-01-29,2021-02-26,1,1.0
2021-02-26,2021-02-26,2021-03-26,1,1.0
2021-03-26,2021-03-26,2021-04-23,1,1.0
2021-04-23,2021-04-23,2021-05-21,1,1.0
2021-05-21,2021-05-21,2021-06-18,0,1.0
2021-06-18,2021-06-18,2021-07-16,0,0.0
2021-07-16,2021-07-16,2021-08-13,0,0.0
2021-08-13,2021-08-13,2021-09-10,0,0.0
2021-09-10,2021-09-10,2021-10-08,0,0.0
2021-10-08,2021-10-08,2021-11-05,0,0.0
2021-11-05,2021-11-05,2021-12-03,1,0.0
2021-12-03,2021-12-03,2021-12-31,0,1.0
2021-12-31,2021-12-31,2022-01-28,0,0.0
2022-01-28,2022-01-28,2022-02-25,0,0.0
2022-02-25,2022-02-25,2022-03-25,1,0.0
2022-03-25,2022-03-25,2022-04-22,0,1.0
2022-04-22,2022-04-22,2022-05-20,0,0.0
2022-05-20,2022-05-20,2022-06-17,1,0.0
2022-06-17,2022-06-17,2022-07-15,1,1.0
2022-07-15,2022-07-15,2022-08-12,1,1.0
2022-08-12,2022-08-12,2022-09-09,1,1.0
2022-09-09,2022-09-09,2022-10-07,1,1.0
2022-10-07,2022-10-07,2022-11-04,0,1.0
2022-11-04,2022-11-04,2022-12-02,0,0.0
2022-12-02,2022-12-02,2022-12-30,1,0.0
2022-12-30,2022-12-30,2023-01-27,0,1.0
2023-01-27,2023-01-27,2023-02-24,0,0.0
2023-02-24,2023-02-24,2023-03-24,0,0.0
2023-03-24,2023-03-24,2023-04-21,1,0.0
2023-04-21,2023-04-21,2023-05-19,1,1.0
2023-05-19,2023-05-19,2023-06-16,1,1.0
2023-06-16,2023-06-16,2023-07-14,0,1.0
2023-07-14,2023-07-14,2023-08-11,0,0.0
2023-08-11,2023-08-11,2023-09-08,1,0.0
2023-09-08,2023-09-08,2023-10-06,1,1.0
2023-10-06,2023-10-06,2023-11-03,0,1.0
2023-11-03,2023-11-03,2023-12-01,0,0.0
2023-12-01,2023-12-01,2023-12-29,0,0.0
2023-12-29,2023-12-29,2024-01-26,0,0.0
2024-01-26,2024-01-26,2024-02-23,1,0.0
2024-02-23,2024-02-23,2024-03-22,1,1.0
2024-03-22,2024-03-22,2024-04-19,1,1.0
2024-04-19,2024-04-19,2024-05-17,1,1.0
2024-05-17,2024-05-17,2024-06-14,1,1.0
2024-06-14,2024-06-14,2024-07-12,1,1.0
2024-07-12,2024-07-12,2024-08-09,1,1.0
2024-08-09,2024-08-09,2024-09-06,1,1.0
2024-09-06,2024-09-06,2024-10-04,1,1.0
2024-10-04,2024-10-04,2024-11-01,1,1.0
2024-11-01,2024-11-01,2024-11-29,1,1.0
2024-11-29,2024-11-29,2024-12-27,1,1.0
2024-12-27,2024-12-27,2025-01-24,0,1.0
