K,Horizon,Mean_DirAcc,Mean_MAE,Mean_RMSE
2,1,0.529,0.0086,0.0127
2,5,0.569,0.0192,0.0270
2,10,0.591,0.0267,0.0375
2,20,0.618,0.0374,0.0525
2,40,0.653,0.0510,0.0696
2,50,0.674,0.0565,0.0765
2,70,0.701,0.0642,0.0859
2,100,0.736,0.0729,0.0970
3,1,0.529,0.0086,0.0127
3,5,0.569,0.0192,0.0270
3,10,0.591,0.0267,0.0375
3,20,0.618,0.0374,0.0525
3,40,0.653,0.0510,0.0696
3,50,0.674,0.0565,0.0765
3,70,0.701,0.0642,0.0859
3,100,0.736,0.0729,0.0970
4,1,0.529,0.0086,0.0127
4,5,0.569,0.0192,0.0270
4,10,0.591,0.0267,0.0375
4,20,0.618,0.0374,0.0525
4,40,0.653,0.0510,0.0696
4,50,0.674,0.0565,0.0765
4,70,0.701,0.0642,0.0859
4,100,0.736,0.0729,0.0970